,0
0,None
1,All airports
2,Afghanistan
3,Albania
4,Algeria
5,American Samoa
6,Angola
7,Anguilla
8,Antarctica
9,Antigua and Barbuda
10,Argentina
11,Armenia
12,Aruba
13,Australia
14,Austria
15,Azerbaijan
16,Bahamas
17,Bahrain
18,Bangladesh
19,Barbados
20,Belarus
21,Belgium
22,Belize
23,Benin
24,Bermuda
25,Bhutan
26,Bolivia
27,Bosnia and Herzegovina
28,Botswana
29,Brazil
30,British Indian Ocean Territory
31,British Virgin Islands
32,Brunei
33,Bulgaria
34,Burkina Faso
35,Burma
36,Burundi
37,Cambodia
38,Cameroon
39,Canada
40,Cape Verde
41,Cayman Islands
42,Central African Republic
43,Chad
44,Chile
45,China
46,Christmas Island
47,Cocos (Keeling) Islands
48,Colombia
49,Comoros
50,Congo (Brazzaville)
51,Congo (Kinshasa)
52,Cook Islands
53,Costa Rica
54,Cote d'Ivoire
55,Croatia
56,Cuba
57,Cyprus
58,Czech Republic
59,Denmark
60,Djibouti
61,Dominica
62,Dominican Republic
63,East Timor
64,Ecuador
65,Egypt
66,El Salvador
67,Equatorial Guinea
68,Eritrea
69,Estonia
70,Ethiopia
71,Falkland Islands
72,Faroe Islands
73,Fiji
74,Finland
75,France
76,French Guiana
77,French Polynesia
78,Gabon
79,Gambia
80,Georgia
81,Germany
82,Ghana
83,Gibraltar
84,Greece
85,Greenland
86,Grenada
87,Guadeloupe
88,Guam
89,Guatemala
90,Guernsey
91,Guinea
92,Guinea-Bissau
93,Guyana
94,Haiti
95,Honduras
96,Hong Kong
97,Hungary
98,Iceland
99,India
100,Indonesia
101,Iran
102,Iraq
103,Ireland
104,Isle of Man
105,Israel
106,Italy
107,Jamaica
108,Japan
109,Jersey
110,Johnston Atoll
111,Jordan
112,Kazakhstan
113,Kenya
114,Kiribati
115,Kuwait
116,Kyrgyzstan
117,Laos
118,Latvia
119,Lebanon
120,Lesotho
121,Liberia
122,Libya
123,Lithuania
124,Luxembourg
125,Macau
126,Macedonia
127,Madagascar
128,Malawi
129,Malaysia
130,Maldives
131,Mali
132,Malta
133,Marshall Islands
134,Martinique
135,Mauritania
136,Mauritius
137,Mayotte
138,Mexico
139,Micronesia
140,Midway Islands
141,Moldova
142,Mongolia
143,Montenegro
144,Montserrat
145,Morocco
146,Mozambique
147,Myanmar
148,Namibia
149,Nauru
150,Nepal
151,Netherlands
152,Netherlands Antilles
153,New Caledonia
154,New Zealand
155,Nicaragua
156,Niger
157,Nigeria
158,Niue
159,Norfolk Island
160,North Korea
161,Northern Mariana Islands
162,Norway
163,Oman
164,Pakistan
165,Palau
166,Palestine
167,Panama
168,Papua New Guinea
169,Paraguay
170,Peru
171,Philippines
172,Poland
173,Portugal
174,Puerto Rico
175,Qatar
176,Reunion
177,Romania
178,Russia
179,Rwanda
180,Saint Helena
181,Saint Kitts and Nevis
182,Saint Lucia
183,Saint Pierre and Miquelon
184,Saint Vincent and the Grenadines
185,Samoa
186,Sao Tome and Principe
187,Saudi Arabia
188,Senegal
189,Serbia
190,Seychelles
191,Sierra Leone
192,Singapore
193,Slovakia
194,Slovenia
195,Solomon Islands
196,Somalia
197,South Africa
198,South Korea
199,South Sudan
200,Spain
201,Sri Lanka
202,Sudan
203,Suriname
204,Svalbard
205,Swaziland
206,Sweden
207,Switzerland
208,Syria
209,Taiwan
210,Tajikistan
211,Tanzania
212,Thailand
213,Togo
214,Tonga
215,Trinidad and Tobago
216,Tunisia
217,Turkey
218,Turkmenistan
219,Turks and Caicos Islands
220,Tuvalu
221,Uganda
222,Ukraine
223,United Arab Emirates
224,United Kingdom
225,United States
226,Uruguay
227,Uzbekistan
228,Vanuatu
229,Venezuela
230,Vietnam
231,Virgin Islands
232,Wake Island
233,Wallis and Futuna
234,West Bank
235,Western Sahara
236,Yemen
237,Zambia
238,Zimbabwe
